epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.74,1.20906,3.75307,1.29907,0.00333,1,0.00612,0.00377,0.87862,4.02619,1.09612,0.0937,0.0007,0.0007
2,59.8442,0.79693,3.39561,0.98745,0.00333,1,0.04386,0.04228,0.67545,3.70224,0.93708,0.0864703,0.0014703,0.0014703
3,89.2412,0.703,2.53295,0.90627,0.00333,1,0.13552,0.1274,0.62398,3.49799,0.90744,0.0792089,0.00220892,0.00220892
4,120.149,0.76574,1.72395,0.94694,0.00333,1,0.87596,0.65175,0.71217,3.24203,0.94298,0.0719159,0.00291586,0.00291586
5,149.096,0.72277,1.30211,0.9233,0.00333,1,0.87217,0.66886,0.73468,3.17951,0.91456,0.0645911,0.00359112,0.00359112
6,176.67,0.6856,1.08281,0.90436,0.00333,1,0.90611,0.72633,0.62742,3.09373,0.89218,0.0572347,0.0042347,0.0042347
7,204.11,0.72568,0.98185,0.91576,0.00333,1,0.93545,0.79245,0.64305,3.03107,0.89064,0.0498466,0.0048466,0.0048466
8,231.246,0.71768,0.92118,0.9276,0.00333,1,0.9354,0.77871,0.72537,2.87688,0.9189,0.0424268,0.00542682,0.00542682
9,258.656,0.77274,0.90548,0.92439,1,0.12442,0.93558,0.79666,0.69361,2.74771,0.90487,0.0349754,0.00597536,0.00597536
10,285.989,0.76559,0.86869,0.9208,1,0.31232,0.94603,0.77124,0.70807,2.52977,0.90628,0.0274922,0.00649222,0.00649222
11,313.126,0.72542,0.91774,0.91191,1,0.36624,0.94671,0.82471,0.61765,2.3937,0.89219,0.0199774,0.0069774,0.0069774
12,340.681,0.68398,0.90616,0.90966,1,0.18014,0.96808,0.80308,0.68225,2.62017,0.92008,0.0124309,0.0074309,0.0074309
13,367.797,0.74583,0.93071,0.92877,1,0.91422,0.98833,0.83893,0.69261,1.56559,0.90853,0.007624,0.007624,0.007624
14,394.973,0.74709,0.87392,0.9295,0.88663,0.9375,0.98458,0.84077,0.64133,1.53379,0.92957,0.007426,0.007426,0.007426
15,422.188,0.67641,0.82478,0.90548,0.94047,0.98797,0.99147,0.83321,0.73249,1.00962,0.94379,0.007228,0.007228,0.007228
